Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
01/15/2024,Buy,AAPL,APPLE INC,10,$150.00,$0.00,"-$1,500.00"
02/20/2024,Sell,AAPL,APPLE INC,5,$160.00,$0.00,$800.00
03/10/2024,Buy,MSFT,MICROSOFT CORP,15,$350.00,$0.00,"-$5,250.00"
04/05/2024,Dividend,AAPL,APPLE INC DIVIDEND,,,,$12.50
05/12/2024,Sell,MSFT,MICROSOFT CORP,10,$370.00,$1.00,"$3,699.00"
07/26/2023,Buy,SNAP,SNAP INC CLASS A,100,$10.075,,-$1007.50
07/25/2023,Sell Short,SNAP,SNAP INC CLASS A,100,$12.50,$0.02,$1249.98
08/25/2025 as of 08/22/2025,Expired,APP 08/22/2025 475.00 C,CALL APPLOVIN CORP $475 EXP 08/22/25,4,,,
08/18/2025,Sell to Open,APP 08/22/2025 475.00 C,CALL APPLOVIN CORP $475 EXP 08/22/25,4,$1.10,$2.65,$437.35
04/04/2024,Buy,DELL,DELL TECHNOLOGIES INC CLASS C,500,$135.053,,-$67526.50
07/02/2025,Sell to Open,DELL 07/03/2025 125.00 C,CALL DELL TECHNOLOGIES I$125 EXP 07/03/25,5,$0.30,$3.31,$146.69
07/07/2025 as of 07/03/2025,Assigned,DELL 07/03/2025 125.00 C,CALL DELL TECHNOLOGIES I$125 EXP 07/03/25,5,,,
07/07/2025 as of 07/03/2025,Sell,DELL,DELL TECHNOLOGIES INC CLASS C,500,$125.00,$0.08,$62499.92
06/12/2025,Sell to Open,RKLB 06/13/2025 27.00 P,PUT ROCKET LAB CORP $27 EXP 06/13/25,10,$0.55,$6.65,$543.35
06/16/2025 as of 06/13/2025,Assigned,RKLB 06/13/2025 27.00 P,PUT ROCKET LAB CORP $27 EXP 06/13/25,10,,,
06/16/2025 as of 06/13/2025,Buy,RKLB,ROCKET LAB CORP,"1,000",$27.00,,-$27000.00
03/19/2024,Buy to Close,SMCI 03/22/2024 1010.00 C,CALL SUPER MICRO COMPUTE$1010 EXP 03/22/24,1,$6.00,$0.66,-$600.66
03/18/2024,Buy to Close,SMCI 03/22/2024 1200.00 C,CALL SUPER MICRO COMPUTE$1200 EXP 03/22/24,1,$9.50,$0.66,-$950.66
03/18/2024,Sell to Open,SMCI 03/22/2024 1010.00 C,CALL SUPER MICRO COMPUTE$1010 EXP 03/22/24,1,$55.50,$0.70,$5549.30
03/18/2024,Sell to Open,SMCI 03/22/2024 1200.00 C,CALL SUPER MICRO COMPUTE$1200 EXP 03/22/24,1,$41.50,$0.69,$4149.31
02/26/2024 as of 02/23/2024,Expired,NVDA 02/23/2024 1080.00 C,CALL NVIDIA CORP $1080 EXP 02/23/24,-1,,,
02/16/2024,Buy to Open,NVDA 02/23/2024 1080.00 C,CALL NVIDIA CORP $1080 EXP 02/23/24,1,$0.93 ,$0.66 ,-$93.66